Time,CPU(%),RAM(%),GPU0_Util(%),GPU0_Mem(MB),GPU1_Util(%),GPU1_Mem(MB),GPU2_Util(%),GPU2_Mem(MB),GPU3_Util(%),GPU3_Mem(MB),GPU4_Util(%),GPU4_Mem(MB),GPU5_Util(%),GPU5_Mem(MB),GPU6_Util(%),GPU6_Mem(MB),GPU7_Util(%),GPU7_Mem(MB)
[2025-06-28 22:39:04],5.0,11.6,83,76796,78,72366,79,72366,79,72366,79,72366,77,72366,77,72366,78,71886
[2025-06-28 22:39:07],5.7,11.6,83,76796,77,72366,79,72366,77,72366,78,72366,77,72366,79,72366,79,71886
[2025-06-28 22:39:09],4.7,11.6,83,76796,78,72366,77,72366,77,72366,79,72366,79,72366,72,72366,77,71886
[2025-06-28 22:39:11],4.9,11.6,82,76796,79,72366,76,72366,79,72366,79,72366,79,72366,78,72366,77,71886
[2025-06-28 22:39:14],4.7,11.6,82,76796,78,72366,77,72366,78,72366,79,72366,78,72366,77,72366,79,71886
[2025-06-28 22:39:17],4.6,11.6,83,76796,78,72366,77,72366,78,72366,78,72366,79,72366,79,72366,76,71886
[2025-06-28 22:39:20],4.6,11.6,84,76796,79,72366,79,72366,78,72366,78,72366,77,72366,79,72366,77,71886
[2025-06-28 22:39:23],4.6,11.6,83,76796,77,72366,78,72366,78,72366,79,72366,77,72366,76,72366,78,71886
[2025-06-28 22:39:26],4.5,11.6,81,76796,76,72366,78,72366,76,72366,78,72366,77,72366,69,72366,76,71886
[2025-06-28 22:39:28],4.6,11.6,83,76796,77,72366,78,72366,77,72366,79,72366,78,72366,79,72366,78,71886
[2025-06-28 22:39:31],4.6,11.6,81,76796,78,72366,79,72366,78,72366,79,72366,79,72366,68,72366,77,71886
[2025-06-28 22:39:34],4.7,11.6,81,76796,77,72366,77,72366,78,72366,78,72366,78,72366,68,72366,79,71886
[2025-06-28 22:39:36],4.8,11.6,81,76796,75,72366,77,72366,77,72366,79,72366,79,72366,79,72366,77,71886
[2025-06-28 22:39:39],4.7,11.6,82,76796,77,72366,78,72366,77,72366,78,72366,77,72366,78,72366,78,71886
[2025-06-28 22:39:42],4.6,11.6,81,76796,76,72366,77,72366,78,72366,78,72366,78,72366,71,72366,79,71886
[2025-06-28 22:39:44],4.8,11.6,83,76796,76,72366,78,72366,77,72366,79,72366,78,72366,78,72366,79,71886
[2025-06-28 22:39:47],4.6,11.6,82,76796,77,72366,77,72366,77,72366,79,72366,79,72366,79,72366,78,71886
[2025-06-28 22:39:49],4.7,11.6,82,76796,77,72366,78,72366,77,72366,78,72366,78,72366,79,72366,79,71886
[2025-06-28 22:39:52],5.6,11.6,83,76796,78,72366,79,72366,78,72366,79,72366,78,72366,77,72366,79,71886
[2025-06-28 22:39:55],4.9,11.6,82,76796,78,72366,77,72366,79,72366,77,72366,79,72366,79,72366,77,71886
[2025-06-28 22:39:58],4.8,11.6,82,76796,78,72366,78,72366,79,72366,77,72366,79,72366,79,72366,77,71886
[2025-06-28 22:40:01],4.9,11.6,83,76796,77,72366,79,72366,77,72366,78,72366,79,72366,78,72366,79,71886
[2025-06-28 22:40:03],4.9,11.6,83,76796,77,72366,74,72366,77,72366,77,72366,78,72366,71,72366,78,71886
[2025-06-28 22:40:05],4.6,11.6,83,76796,80,72366,77,72366,79,72366,77,72366,77,72366,74,72366,78,71886
[2025-06-28 22:40:08],5.6,11.6,83,76796,76,72366,79,72366,77,72366,79,72366,78,72366,78,72366,79,71886
[2025-06-28 22:40:11],4.6,11.6,83,76796,76,72366,80,72366,75,72366,78,72366,74,72366,76,72366,76,71886
[2025-06-28 22:40:14],4.9,11.6,82,76796,77,72366,78,72366,77,72366,79,72366,77,72366,78,72366,79,71886
[2025-06-28 22:40:17],4.6,11.6,84,76796,78,72366,79,72366,79,72366,79,72366,79,72366,76,72366,77,71886
[2025-06-28 22:40:20],4.6,11.6,82,76796,78,72366,77,72366,78,72366,78,72366,79,72366,79,72366,77,71886
[2025-06-28 22:40:23],4.7,11.6,82,76796,76,72366,78,72366,77,72366,79,72366,79,72366,77,72366,79,71886
[2025-06-28 22:40:26],4.7,11.6,81,76796,78,72366,77,72366,76,72366,77,72366,78,72366,78,72366,79,71886
[2025-06-28 22:40:29],4.7,11.6,83,76796,78,72366,78,72366,77,72366,79,72366,78,72366,77,72366,79,71886
[2025-06-28 22:40:32],4.7,11.6,81,76796,75,72366,79,72366,77,72366,77,72366,77,72366,77,72366,79,71886
[2025-06-28 22:40:35],4.7,11.6,81,76796,78,72366,77,72366,78,72366,78,72366,79,72366,71,72366,78,71886
[2025-06-28 22:40:38],4.7,11.6,82,76796,78,72366,78,72366,78,72366,79,72366,79,72366,68,72366,77,71886
[2025-06-28 22:40:40],4.7,11.6,82,76796,77,72366,79,72366,78,72366,79,72366,79,72366,77,72366,78,71886
[2025-06-28 22:40:43],5.2,11.6,83,76796,76,72366,79,72366,77,72366,77,72366,79,72366,68,72366,75,71886
[2025-06-28 22:40:45],5.0,11.6,82,76796,77,72366,78,72366,78,72366,78,72366,79,72366,68,72366,77,71886
[2025-06-28 22:40:48],4.7,11.6,83,76796,78,72366,79,72366,79,72366,80,72366,80,72366,79,72366,80,71886
[2025-06-28 22:40:51],4.7,11.6,85,76796,82,72366,82,72366,81,72366,81,72366,82,72366,82,72366,81,71886
[2025-06-28 22:40:54],4.5,11.6,86,76796,83,72366,83,72366,82,72366,83,72366,83,72366,82,72366,83,71886
[2025-06-28 22:40:57],4.5,11.6,88,76796,84,72366,84,72366,84,72366,84,72366,84,72366,84,72366,85,71886
[2025-06-28 22:41:00],5.3,11.6,88,76796,85,72366,85,72366,86,72366,87,72366,87,72366,85,72366,86,71886
[2025-06-28 22:41:03],4.3,11.6,88,76796,85,72366,86,72366,87,72366,86,72366,86,72366,85,72366,87,71886
[2025-06-28 22:41:06],4.4,11.6,89,76796,85,72366,85,72366,86,72366,86,72366,86,72366,86,72366,87,71886
[2025-06-28 22:41:09],5.2,11.6,88,76796,85,72366,86,72366,86,72366,87,72366,86,72366,86,72366,86,71886
[2025-06-28 22:41:13],4.5,11.6,88,76796,85,72366,86,72366,86,72366,86,72366,87,72366,85,72366,86,71886
[2025-06-28 22:41:15],6.0,11.6,0,76796,0,72366,0,72366,0,72366,0,72366,0,72366,0,72366,0,71886
[2025-06-28 22:41:17],1.2,11.6,0,76796,0,72366,0,72366,0,72366,0,72366,0,72366,0,72366,0,71886
[2025-06-28 22:41:20],1.4,11.6,0,76796,0,72366,0,72366,0,72366,0,72366,0,72366,0,72366,0,71886
[2025-06-28 22:41:22],1.1,11.6,0,76796,0,72366,0,72366,0,72366,0,72366,0,72366,0,72366,0,71886
[2025-06-28 22:41:24],1.3,11.6,0,76796,0,72366,0,72366,0,72366,0,72366,0,72366,0,72366,0,71886
[2025-06-28 22:41:26],1.0,11.6,0,76796,0,72366,0,72366,0,72366,0,72366,0,72366,0,72366,0,71886
[2025-06-28 22:41:28],1.3,11.6,0,76796,0,72366,0,72366,0,72366,0,72366,0,72366,0,72366,0,71886
[2025-06-28 22:41:31],1.2,11.6,88,76796,85,72366,86,72366,85,72366,86,72366,86,72366,86,72366,85,71886
[2025-06-28 22:41:33],4.6,11.6,88,76796,86,72366,85,72366,85,72366,86,72366,86,72366,85,72366,86,71886
[2025-06-28 22:41:35],4.9,11.6,88,76796,86,72366,86,72366,85,72366,86,72366,85,72366,85,72366,85,71886
[2025-06-28 22:41:37],4.3,11.6,84,76796,75,72366,80,72366,77,72366,77,72366,78,72366,80,72366,78,71886
[2025-06-28 22:41:40],4.3,11.6,82,76796,77,72366,78,72366,77,72366,79,72366,79,72366,77,72366,76,71886
[2025-06-28 22:41:43],4.4,11.6,83,76796,79,72366,77,72366,79,72366,79,72366,77,72366,77,72366,78,71886
[2025-06-28 22:41:45],4.7,11.6,80,76796,77,72366,77,72366,82,72366,81,72366,77,72366,80,72366,79,71886
[2025-06-28 22:41:48],4.9,11.6,82,76796,77,72366,78,72366,79,72366,79,72366,78,72366,76,72366,80,71886
[2025-06-28 22:41:51],4.5,11.6,82,76796,78,72366,76,72366,77,72366,76,72366,80,72366,79,72366,78,71886
[2025-06-28 22:41:52],4.6,11.6,87,76796,80,72366,82,72366,83,72366,70,72366,81,72366,68,72366,81,71886
[2025-06-28 22:41:54],18.3,11.6,79,76796,79,72366,78,72366,80,72366,78,72366,80,72366,81,72366,79,71886
[2025-06-28 22:41:58],4.5,11.6,81,76796,78,72366,79,72366,79,72366,79,72366,78,72366,77,72366,79,71886
[2025-06-28 22:42:01],4.9,11.6,80,76796,78,72366,81,72366,78,72366,81,72366,77,72366,77,72366,78,71886
[2025-06-28 22:42:04],4.7,11.6,80,76796,78,72366,78,72366,78,72366,80,72366,79,72366,78,72366,77,71886
[2025-06-28 22:42:07],4.7,11.6,82,76796,78,72366,77,72366,76,72366,78,72366,77,72366,77,72366,76,71886
[2025-06-28 22:42:10],4.6,11.6,83,76796,78,72366,77,72366,79,72366,77,72366,77,72366,79,72366,78,71886
[2025-06-28 22:42:13],4.9,11.6,83,76796,78,72366,79,72366,78,72366,78,72366,77,72366,79,72366,79,71886
[2025-06-28 22:42:16],4.6,11.6,82,76796,82,72366,81,72366,81,72366,81,72366,79,72366,77,72366,81,71886
[2025-06-28 22:42:19],4.6,11.6,83,76796,79,72366,79,72366,79,72366,79,72366,77,72366,81,72366,79,71886
[2025-06-28 22:42:22],4.7,11.6,80,76796,78,72366,79,72366,79,72366,79,72366,76,72366,77,72366,77,71886
[2025-06-28 22:42:25],5.0,11.6,83,76796,77,72366,80,72366,79,72366,77,72366,79,72366,77,72366,81,71886
[2025-06-28 22:42:28],4.6,11.6,83,76796,77,72366,78,72366,78,72366,79,72366,78,72366,79,72366,79,71886
[2025-06-28 22:42:31],4.7,11.6,83,76796,79,72366,78,72366,80,72366,78,72366,78,72366,82,72366,79,71886
[2025-06-28 22:42:34],4.7,11.6,83,76796,78,72366,78,72366,79,72366,79,72366,76,72366,80,72366,80,71886
[2025-06-28 22:42:37],4.7,11.6,84,76796,77,72366,79,72366,77,72366,77,72366,78,72366,79,72366,78,71886
[2025-06-28 22:42:40],4.8,11.6,83,76796,78,72366,77,72366,79,72366,78,72366,78,72366,79,72366,79,71886
[2025-06-28 22:42:43],4.9,11.6,81,76796,76,72366,77,72366,77,72366,77,72366,79,72366,75,72366,81,71886
[2025-06-28 22:42:46],4.7,11.6,82,76796,78,72366,79,72366,79,72366,77,72366,79,72366,79,72366,77,71886
[2025-06-28 22:42:49],5.0,11.6,83,76796,77,72366,79,72366,80,72366,79,72366,78,72366,80,72366,78,71886
[2025-06-28 22:42:52],4.6,11.6,82,76796,77,72366,78,72366,80,72366,79,72366,79,72366,77,72366,79,71886
[2025-06-28 22:42:55],4.7,11.6,83,76796,76,72366,79,72366,81,72366,79,72366,78,72366,78,72366,78,71886
[2025-06-28 22:42:58],5.0,11.6,83,76796,76,72366,79,72366,80,72366,76,72366,80,72366,78,72366,78,71886
[2025-06-28 22:43:01],4.6,11.6,83,76796,78,72366,78,72366,78,72366,81,72366,81,72366,80,72366,81,71886
[2025-06-28 22:43:04],4.8,11.6,83,76796,76,72366,77,72366,79,72366,77,72366,78,72366,79,72366,78,71886
[2025-06-28 22:43:06],4.7,11.6,82,76796,78,72366,77,72366,79,72366,78,72366,78,72366,78,72366,79,71886
[2025-06-28 22:43:08],4.8,11.6,85,76796,78,72366,80,72366,79,72366,77,72366,79,72366,79,72366,81,71886
